Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
1986:Q4,43.41,42.84,63.46,110.19,111.15,66.08,35.80,63.29,46.40,38.34,24.50,56.99,123.62,146.49,35.91,36.87,79.97,41.07,57.37,63.80,67.46,71.45,59.94,68.80,154.08,90.27
1987:Q1,43.22,43.19,65.39,111.84,110.64,60.81,36.41,63.77,46.84,39.51,23.75,56.08,125.44,142.80,35.92,37.08,76.99,41.66,58.63,64.52,66.36,77.71,58.11,68.18,148.97,89.66
1987:Q2,42.91,43.59,69.35,114.09,110.12,59.43,38.27,63.95,47.29,40.65,23.69,56.19,127.60,141.77,36.66,38.46,81.32,43.20,59.45,64.70,66.98,81.27,58.17,67.69,144.09,89.83
1987:Q3,43.04,44.03,71.83,116.22,109.71,58.58,39.79,65.54,47.77,41.64,23.73,56.88,132.53,141.79,37.56,39.03,79.05,44.71,59.95,64.81,66.54,84.11,58.20,67.39,138.67,90.15
1987:Q4,44.31,44.55,72.33,118.47,109.87,57.79,41.79,67.62,48.84,43.97,23.90,57.59,135.14,147.39,38.62,38.49,78.04,46.12,61.75,64.83,67.54,84.20,57.83,64.21,135.48,90.36
1988:Q1,45.56,45.64,71.85,122.60,110.98,58.04,44.31,68.77,50.15,45.61,24.57,59.01,135.68,150.83,39.92,38.56,78.70,46.62,63.73,65.38,67.12,93.37,56.63,66.31,134.88,90.60
1988:Q2,47.15,46.26,74.37,126.62,110.97,56.81,46.17,72.73,51.01,47.50,24.84,59.34,137.36,157.26,41.30,40.31,76.76,47.64,65.28,65.77,66.46,90.97,55.68,64.30,136.18,91.52
1988:Q3,50.95,46.88,77.12,131.43,110.39,57.39,47.24,76.07,51.72,52.44,25.08,56.84,138.02,161.18,42.79,41.04,77.21,47.16,68.10,65.63,66.60,89.85,56.12,67.24,138.11,93.23
1988:Q4,55.18,47.62,78.37,137.26,111.30,57.39,48.68,82.27,52.82,55.62,25.30,60.04,139.24,158.44,44.38,40.52,76.48,46.80,69.44,65.71,65.85,90.90,59.71,79.04,140.11,95.38
1989:Q1,58.92,48.57,81.14,140.39,110.61,55.95,51.53,85.23,54.43,56.67,25.21,69.33,141.38,163.16,46.63,40.46,73.82,47.43,71.92,65.79,66.28,73.02,58.37,84.02,143.85,96.15
1989:Q2,58.68,49.76,86.42,141.76,110.46,54.95,53.32,89.27,55.14,57.50,25.57,73.10,142.48,172.46,48.16,42.14,69.65,47.32,73.86,65.61,66.45,74.21,61.40,97.33,145.11,95.91
1989:Q3,57.96,50.99,84.82,142.59,111.12,53.65,54.92,90.47,55.83,57.55,26.09,72.35,144.99,171.08,49.56,43.20,67.05,47.41,75.89,66.60,66.48,73.51,63.73,99.31,145.34,99.32
1989:Q4,57.18,52.21,84.99,141.91,110.95,52.95,55.53,89.49,56.87,56.08,26.77,75.41,148.58,168.59,50.87,42.53,65.44,47.27,75.95,66.78,65.16,75.34,68.29,95.89,144.89,99.15
1990:Q1,56.74,53.27,86.50,139.60,109.02,51.19,58.24,86.87,58.06,54.41,28.31,82.19,153.90,174.47,52.27,41.79,63.55,47.76,76.16,66.26,64.59,76.36,68.59,82.12,143.55,98.92
1990:Q2,56.15,53.90,87.59,136.52,108.87,49.62,58.29,87.07,58.59,52.63,28.92,87.65,158.42,182.42,53.35,43.56,62.41,47.87,76.41,65.74,64.72,81.94,72.35,78.52,142.07,99.16
1990:Q3,55.37,54.32,82.72,133.04,109.30,48.52,58.51,83.92,58.88,51.50,29.31,86.18,163.84,182.21,54.29,42.74,60.70,47.82,76.03,65.30,64.10,87.55,77.45,77.15,140.38,100.25
1990:Q4,54.27,54.68,79.17,129.57,109.44,48.36,58.58,81.33,59.59,50.60,29.50,87.62,165.63,185.55,55.07,41.26,57.96,46.81,75.04,64.35,63.54,89.17,79.31,74.53,138.39,101.00
1991:Q1,54.14,54.82,74.90,127.50,110.48,48.71,60.97,78.28,60.70,49.47,29.10,88.10,165.71,183.86,55.10,40.69,56.80,46.76,75.24,64.60,62.57,113.85,76.87,84.18,136.80,105.20
1991:Q2,54.63,55.23,74.24,126.42,110.32,48.82,62.42,75.17,60.64,47.95,29.08,91.25,165.94,186.48,55.77,42.25,55.01,45.93,73.09,64.48,62.62,117.71,77.60,82.46,134.57,107.27
1991:Q3,55.84,55.92,76.54,125.22,109.81,48.82,62.87,70.95,59.98,47.41,29.03,90.56,164.52,180.06,56.50,42.46,54.39,45.41,72.82,64.16,62.84,130.04,90.83,83.87,132.05,107.43
