Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
2016:Q2,124.8,104.54,124.58,114.8,111.31,115.28,99.57,116.54,107.44,112.98,109.33,91.26,113.55,127.98,107.35,108.9,119.47,124.74,136.67,110.75,110.39,104.46,140.56,113.08,132.18,102.36
2016:Q3,125.01,106.11,125.59,114.73,111.31,115.14,99.4,116.73,108.38,112.22,109.79,91.55,114.05,127.73,108.48,109.84,119.3,125.74,136.85,111.03,110.51,105.53,141.65,114.93,132.56,103.17
2016:Q4,125.19,105.32,126.41,114.67,111.58,116.46,99.57,117.81,108.46,111.42,111.21,91.55,114.43,128.37,109.23,110.59,120.31,126.79,135.8,111.56,110.79,106.44,142.15,114.97,133.43,104.02
2017:Q1,125.2,106.29,126.26,114.18,112.91,117.67,99.64,118.62,109.14,111.44,111.37,91.67,114.69,127.92,107.67,109.07,120.58,127.96,134.6,112.51,111.08,106.1,142.19,114.19,134.59,103.9
2017:Q2,124.81,107.84,128.23,113.9,112.96,118.85,100.58,118.62,109.71,113.07,112.52,92.2,114.85,128.78,108.67,108.83,120.64,128.36,139.72,113.4,111.61,107.37,142.72,116.45,134.98,104.68
2017:Q3,125.16,107.72,130.65,113.62,113.21,117.86,100.95,119.05,110.04,113.42,113.46,92.97,115.34,128.78,110.03,109.45,121.26,129.63,139.38,114.04,112,108.79,143.94,118.6,136.09,105.47
2017:Q4,126.07,107.59,130.79,113.37,114.35,119.11,101.35,119.57,110.31,113.49,114.14,93.15,115.58,130.37,110.46,110.31,121.88,131.19,139.17,114.62,112.11,111,144.82,119.95,136.71,106.48
2018:Q1,126.35,107.49,130.18,113.93,116.33,121.17,101.27,121.03,109.9,114.26,114.93,94.07,115.58,131.36,109.29,110.83,122.38,132.05,139.13,115.34,111.99,111.27,146.19,120.33,137.27,106.77
2018:Q2,126.79,107.38,129.13,113.87,116.31,121.48,102.15,120.43,110.18,113.88,115.81,94.85,116.09,132.66,110.18,111.88,122.55,133.28,138.02,116.14,111.93,111.89,147.44,121.74,137.06,107.03
2018:Q3,127.01,108.11,129.05,113.83,116,119.97,101.92,120.74,110.75,114.08,116.21,94.76,116.71,133.14,110.33,112.7,121.92,134.52,140.43,117.03,111.64,113.66,149.52,124.53,137.54,107.87
2018:Q4,127.76,110.02,130.71,114.24,116.93,121.75,102.43,122.9,112.33,114.91,117.16,94.94,117.52,134.81,110.69,113.15,122.38,135.91,141.51,117.92,111.36,115.23,150.88,127.21,138.51,108.98
2019:Q1,128.12,110.01,130.51,115.14,117.78,123,102.63,123.35,113.33,115,117.29,94.58,117.98,136.86,111.61,113.42,122.81,137.1,140.85,118.91,111.08,118.16,152.42,128.03,139.27,109.21
